country_code,organization
,
US,AS8068 MICROSOFT-CORP-MSN-AS-BLOCK
PT,"AS1930 Fundacao para a Ciencia e a Tecnologia, I.P."
PT,AS32934 FACEBOOK
PT,AS54113 FASTLY
US,AS63949 Akamai Connected Cloud
US,AS15169 GOOGLE
PT,AS3243 Servicos De Comunicacoes E Multimedia S.A.
US,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
PT,"AS2860 Nos Comunicacoes, S.A."
PT,AS12353 Vodafone Portugal - Communicacoes Pessoais S.A.
US,AS16509 AMAZON-02
GB,AS63949 Akamai Connected Cloud
HK,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
BR,AS28604 Globo Comunicacao e Participacoes SA
GB,AS31898 ORACLE-BMC-31898
US,AS14907 WIKIMEDIA
US,AS29789 REFLECTED
NA,AS13335 CLOUDFLARENET
NL,AS46652 SERVERSTACK-ASN
US,AS13414 TWITTER
PT,AS15525 Servicos De Comunicacoes E Multimedia S.A.
US,
US,AS14061 DIGITALOCEAN-ASN
PT,AS24768 Almouroltec Servicos De Informatica E Internet Lda
US,AS8070 MICROSOFT-CORP-MSN-AS-BLOCK
US,AS7018 ATT-INTERNET4
GB,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
US,AS22612 NAMECHEAP-NET
ES,AS16625 AKAMAI-AS
GB,
US,AS31898 ORACLE-BMC-31898
MY,AS32934 FACEBOOK
ES,AS31898 ORACLE-BMC-31898
US,AS19551 INCAPSULA
BR,AS31898 ORACLE-BMC-31898
ES,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
ES,AS20940 Akamai International B.V.
IE,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
ES,
IL,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
PT,AS16625 AKAMAI-AS
IE,AS16509 AMAZON-02
DE,
US,AS7224 AMAZON-AS
FR,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
BR,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
BR,
US,AS62785 AMAZON-FC
KR,
US,AS396982 GOOGLE-CLOUD-PLATFORM
US,AS13335 CLOUDFLARENET
IL,AS32934 FACEBOOK
BR,AS16509 AMAZON-02
IN,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
NL,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
DE,AS14061 DIGITALOCEAN-ASN
US,AS14618 AMAZON-AES
US,AS20940 Akamai International B.V.
DE,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
US,AS63179 TWITTER
DE,AS16509 AMAZON-02
US,AS54113 FASTLY
SG,AS16509 AMAZON-02
SG,
ZA,
US,AS54115 FACEBOOK-CORP
JP,AS54115 FACEBOOK-CORP
IE,
GB,AS16509 AMAZON-02
CN,
JP,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
SE,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
SE,AS16509 AMAZON-02
US,AS32934 FACEBOOK
CA,AS31898 ORACLE-BMC-31898
GB,AS14061 DIGITALOCEAN-ASN
ZA,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
US,AS36459 GITHUB
JP,
AE,
US,AS6167 CELLCO-PART
ID,
AU,
SA,AS31898 ORACLE-BMC-31898
IN,
IT,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
FR,AS16509 AMAZON-02
US,AS8987 Amazon Data Services Ireland Ltd
US,AS35995 TWITTER
FR,
KR,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
CA,AS14061 DIGITALOCEAN-ASN
US,AS43515 Google Ireland Limited
IT,
HK,AS16509 AMAZON-02
CH,
BH,
US,AS62540 DRAKE-AS
DE,AS63949 Akamai Connected Cloud
CL,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
AU,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
CA,AS16509 AMAZON-02
CA,AS35995 TWITTER
SG,AS54115 FACEBOOK-CORP
CA,
US,AS63194 CRASH
CN,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
US,AS8069 MICROSOFT-CORP-MSN-AS-BLOCK
IL,
AU,AS16509 AMAZON-02
BH,AS16509 AMAZON-02
NO,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
IT,AS16509 AMAZON-02
MY,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
ZA,AS16509 AMAZON-02
AR,AS16509 AMAZON-02
IN,AS16509 AMAZON-02
BE,AS32934 FACEBOOK
AE,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
IN,AS63949 Akamai Connected Cloud
PL,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
SG,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
CA,AS8075 MICROSOFT-CORP-MSN-AS-BLOCK
JP,AS16509 AMAZON-02
NL,
TW,AS16509 AMAZON-02
AP,AS32934 FACEBOOK
DK,AS16509 AMAZON-02
PL,AS16509 AMAZON-02
